"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.032","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter_sp900543555"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.033","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila_sp900550745"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.036","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","CAG-484","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.037","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.041","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.042","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.044","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1191","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.046","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","CHKCI006","CHKCI006_sp900018345"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.047","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UMGS2016","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.049","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Firm-11_sp900540045"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.050","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.052","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-877","CAG-877_sp900554305"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.053","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma_timonensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.054","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS966","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.055","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","UMGS1600","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.056","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1472","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.057","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1994","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.058","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.060","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","UBA7182_sp002160135"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.061","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","RUG12045","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.062","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.063","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Massiliomicrobiota","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.064","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R_sp900539425"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.066","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.067","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-465","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.068","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA9475","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.069","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.071","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_sp002160915"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.072","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella_E","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.073","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.075","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.076","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_timonensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.077","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UBA7001","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.078","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.082","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.083","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UMGS2016","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.084","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum_sp900555465"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.085","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","Gordonibacter_urolithinfaciens"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.086","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","CAG-1427","CAG-1427_sp900538545"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.087","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1864","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.089","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.090","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","CAG-273_sp900752335"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.092","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_sp900543115"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.093","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UMGS882","UMGS882_sp003343885"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.094","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","QAMH01","QAMH01","QAMH01_sp900544245"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.096","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Erysipelatoclostridium_sp002160495"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.098","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Merdimonas","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.099","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.100","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.101","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Lawsonibacter_sp900545895"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.103","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.104","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Merdimonas","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.105","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_johnsonii"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.106","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.107","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.109","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.110","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","CABKMX01","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.111","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Evtepia_sp900546255"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.112","Bacteria","Firmicutes","Bacilli","RF39","UBA660","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.113","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas_sp002161525"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.114","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.115","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.116","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B_phocaeensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.117","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA1381","12844","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.121","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.122","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.126","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.127","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UMGS2068","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.129","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-988","CAG-988_sp003149915"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.130","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.132","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_crispatus"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.133","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.134","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.135","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.137","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","HGM12814","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.140","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1409","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.141","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.143","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.144","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","CAG-521","CAG-521_sp002329575"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.146","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_dispar"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.147","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.148","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri_E"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.149","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.150","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.152","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-451","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.153","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.154","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.155","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.156","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.157","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","Enterococcus_E_cecorum"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.160","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1781","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.162","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_salivarius"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.166","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_sp002161355"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.172","Bacteria","Firmicutes_A","Clostridia","Eubacteriales","Anaerofustaceae","Anaerofustis","Anaerofustis_stercorihominis_A"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.173","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_sp002160895"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.174","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.176","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus","Negativibacillus_sp900547455"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.177","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.179","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.180","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","Borkfalkia","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.181","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B_phocaeensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.182","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-465","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.183","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Massiliomicrobiota","Massiliomicrobiota_sp002160815"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.184","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.187","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-354","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.188","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.192","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-451","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.circular.fa.198","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1000","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1008","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1020","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1027","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Catenibacillus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1046","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1054","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_sp900555215"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1084","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1086","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","UBA1390","UBA1390","UBA1390_sp002305315"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1108","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1112","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1122","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1130","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1138","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruthenibacterium","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1165","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter_sp000435395"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1167","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA1777","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1169","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","Odoribacter_splanchnicus"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1196","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7160","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1198","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1222","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_intestinihominis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1225","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1264","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruthenibacterium","Ruthenibacterium_sp002315015"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1271","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UBA7001","Unidentified"
